Branch,City,Gender,Product_line,Unit_price,Tax_5,Sales,Date,cogs,gross_margin_percentage,gross_income,Rating
Alex,Yangon,Female,Health and beauty,74.689999999999998,26.141500000000001,548.97149999999999,2019-01-05 00:00:00.0000000,522.83000000000004,4.7619047620000003,26.141500000000001,9.0999999999999996
Giza,Naypyitaw,Female,Electronic accessories,15.279999999999999,3.8199999999999998,80.219999999999999,2019-03-08 00:00:00.0000000,76.400000000000006,4.7619047620000003,3.8199999999999998,9.5999999999999996
Alex,Yangon,Female,Home and lifestyle,46.329999999999998,16.215499999999999,340.52550000000002,2019-03-03 00:00:00.0000000,324.31,4.7619047620000003,16.215499999999999,7.4000000000000004
Alex,Yangon,Female,Health and beauty,58.219999999999999,23.288,489.048,2019-01-27 00:00:00.0000000,465.75999999999999,4.7619047620000003,23.288,8.4000000000000004
Alex,Yangon,Female,Sports and travel,86.310000000000002,30.208500000000001,634.37850000000003,2019-02-08 00:00:00.0000000,604.16999999999996,4.7619047620000003,30.208500000000001,5.2999999999999998
Giza,Naypyitaw,Female,Electronic accessories,85.390000000000001,29.886500000000002,627.61649999999997,2019-03-25 00:00:00.0000000,597.73000000000002,4.7619047620000003,29.886500000000002,4.0999999999999996
Alex,Yangon,Female,Electronic accessories,68.840000000000003,20.652000000000001,433.69200000000001,2019-02-25 00:00:00.0000000,413.04000000000002,4.7619047620000003,20.652000000000001,5.7999999999999998
Giza,Naypyitaw,Female,Home and lifestyle,73.560000000000002,36.780000000000001,772.38,2019-02-24 00:00:00.0000000,735.60000000000002,4.7619047620000003,36.780000000000001,8
Alex,Yangon,Female,Health and beauty,36.259999999999998,3.6259999999999999,76.146000000000001,2019-01-10 00:00:00.0000000,72.519999999999996,4.7619047620000003,3.6259999999999999,7.2000000000000002
Cairo,Mandalay,Female,Food and beverages,54.840000000000003,8.2260000000000009,172.74600000000001,2019-02-20 00:00:00.0000000,164.52000000000001,4.7619047620000003,8.2260000000000009,5.9000000000000004
Cairo,Mandalay,Female,Fashion accessories,14.48,2.8959999999999999,60.816000000000003,2019-02-06 00:00:00.0000000,57.920000000000002,4.7619047620000003,2.8959999999999999,4.5
Cairo,Mandalay,Female,Electronic accessories,25.510000000000002,5.1020000000000003,107.142,2019-03-09 00:00:00.0000000,102.04000000000001,4.7619047620000003,5.1020000000000003,6.7999999999999998
Alex,Yangon,Female,Electronic accessories,46.950000000000003,11.737500000000001,246.48750000000001,2019-02-12 00:00:00.0000000,234.75,4.7619047620000003,11.737500000000001,7.0999999999999996
Alex,Yangon,Female,Food and beverages,43.189999999999998,21.594999999999999,453.495,2019-02-07 00:00:00.0000000,431.89999999999998,4.7619047620000003,21.594999999999999,8.1999999999999993
Alex,Yangon,Female,Health and beauty,71.379999999999995,35.689999999999998,749.49000000000001,2019-03-29 00:00:00.0000000,713.79999999999995,4.7619047620000003,35.689999999999998,5.7000000000000002
Cairo,Mandalay,Female,Sports and travel,93.719999999999999,28.116,590.43600000000004,2019-01-15 00:00:00.0000000,562.32000000000005,4.7619047620000003,28.116,4.5
Alex,Yangon,Female,Health and beauty,68.930000000000007,24.125499999999999,506.63549999999998,2019-03-11 00:00:00.0000000,482.50999999999999,4.7619047620000003,24.125499999999999,4.5999999999999996
Alex,Yangon,Female,Sports and travel,72.609999999999999,21.783000000000001,457.44299999999998,2019-01-01 00:00:00.0000000,435.66000000000003,4.7619047620000003,21.783000000000001,6.9000000000000004
Alex,Yangon,Female,Food and beverages,54.670000000000002,8.2004999999999999,172.2105,2019-01-21 00:00:00.0000000,164.00999999999999,4.7619047620000003,8.2004999999999999,8.5999999999999996
Cairo,Mandalay,Female,Home and lifestyle,40.299999999999997,4.0300000000000002,84.629999999999995,2019-03-11 00:00:00.0000000,80.599999999999994,4.7619047620000003,4.0300000000000002,4.4000000000000004
Giza,Naypyitaw,Female,Electronic accessories,86.040000000000006,21.510000000000002,451.70999999999998,2019-02-25 00:00:00.0000000,430.19999999999999,4.7619047620000003,21.510000000000002,4.7999999999999998
Cairo,Mandalay,Female,Health and beauty,87.980000000000004,13.196999999999999,277.137,2019-03-05 00:00:00.0000000,263.94,4.7619047620000003,13.196999999999999,5.0999999999999996
Cairo,Mandalay,Female,Home and lifestyle,33.200000000000003,3.3199999999999998,69.719999999999999,2019-03-15 00:00:00.0000000,66.400000000000006,4.7619047620000003,3.3199999999999998,4.4000000000000004
Alex,Yangon,Female,Electronic accessories,34.560000000000002,8.6400000000000006,181.44,2019-02-17 00:00:00.0000000,172.80000000000001,4.7619047620000003,8.6400000000000006,9.9000000000000004
Alex,Yangon,Female,Sports and travel,88.629999999999995,13.294499999999999,279.18450000000001,2019-03-02 00:00:00.0000000,265.88999999999999,4.7619047620000003,13.294499999999999,6
Alex,Yangon,Female,Home and lifestyle,52.590000000000003,21.036000000000001,441.75599999999997,2019-03-22 00:00:00.0000000,420.72000000000003,4.7619047620000003,21.036000000000001,8.5
Cairo,Mandalay,Female,Fashion accessories,33.520000000000003,1.6759999999999999,35.195999999999998,2019-02-08 00:00:00.0000000,33.520000000000003,4.7619047620000003,1.6759999999999999,6.7000000000000002
Alex,Yangon,Female,Fashion accessories,87.670000000000002,8.7669999999999995,184.107,2019-03-10 00:00:00.0000000,175.34,4.7619047620000003,8.7669999999999995,7.7000000000000002
Cairo,Mandalay,Female,Food and beverages,88.359999999999999,22.09,463.88999999999999,2019-01-25 00:00:00.0000000,441.80000000000001,4.7619047620000003,22.09,9.5999999999999996
Alex,Yangon,Female,Health and beauty,24.890000000000001,11.2005,235.2105,2019-03-15 00:00:00.0000000,224.00999999999999,4.7619047620000003,11.2005,7.4000000000000004
Cairo,Mandalay,Female,Fashion accessories,94.129999999999995,23.532499999999999,494.1825,2019-02-25 00:00:00.0000000,470.64999999999998,4.7619047620000003,23.532499999999999,4.7999999999999998
Cairo,Mandalay,Female,Sports and travel,78.069999999999993,35.131500000000003,737.76149999999996,2019-01-28 00:00:00.0000000,702.63,4.7619047620000003,35.131500000000003,4.5
Cairo,Mandalay,Female,Sports and travel,83.780000000000001,33.512,703.75199999999995,2019-01-10 00:00:00.0000000,670.24000000000001,4.7619047620000003,33.512,5.0999999999999996
Alex,Yangon,Female,Health and beauty,96.579999999999998,9.6579999999999995,202.81800000000001,2019-03-15 00:00:00.0000000,193.16,4.7619047620000003,9.6579999999999995,5.0999999999999996
